ticker,earnings_date,direction,pct_change,abs_change,magnitude,sector,finbert_positive,finbert_negative,finbert_neutral,finbert_confidence,guidance_raised_count,guidance_lowered_count,confidence_score,uncertainty_score,guidance_direction,text_length,avg_sentence_sentiment,sentiment_volatility,positive_sentence_ratio,negative_sentence_ratio,forward_looking_ratio,tb_polarity,tb_subjectivity,word_count,unique_positive_signals,unique_negative_signals,momentum_5d,momentum_10d,volatility,volume_surge,rsi,price_slope,dist_52w_high,avg_volume
INTC,2024-04-25,DOWN,-9.1997,9.1997,LARGE,Semi,0.1256,0.3145,0.5599,0.5599,0,0,0,0,0.0,2574,0.0528,0.1335,0.2353,0.1176,0.0148,0.151,0.3569,135,0,0,-1.5411,-13.1639,1.8805,0.8779,32.61,-0.3795,-31.8339,53161607.0
ORCL,2026-03-10,UP,9.1834,9.1834,LARGE,Tech,0.0612,0.0492,0.8896,0.8896,0,0,0,0,0.0,2834,0.0,0.0,0.0,0.0,0.0544,0.0,0.0,147,0,0,1.7113,-1.5652,2.6113,1.2608,41.08,-0.0032,-53.6368,24658113.0
ORCL,2025-12-09,UP,0.6681,0.6681,SMALL,Tech,0.018,0.691,0.291,0.691,0,0,0,0,0.0,3009,0.0,0.0,0.0,0.0,0.0414,0.0,0.0,145,0,0,9.6668,0.3093,3.0183,1.0124,37.07,-0.2388,-32.7132,23784707.0
ORCL,2025-09-09,UP,35.9488,35.9488,LARGE,Tech,0.8201,0.0471,0.1328,0.8201,0,0,0,0,0.0,2948,0.0117,0.0329,0.125,0.0,0.0645,0.0333,0.2,155,0,0,5.85,-4.2518,2.6823,1.3524,49.73,-0.8145,-7.0,10966580.0
ORCL,2025-06-10,DOWN,-0.6198,0.6198,SMALL,Tech,0.1062,0.8186,0.0752,0.8186,0,0,0,0,0.0,2653,-0.0156,0.0427,0.0,0.1176,0.014,-0.0816,0.1406,143,0,0,4.7357,10.9684,1.4165,0.9881,59.33,1.3023,-7.3828,8166980.0
ORCL,2025-03-11,UP,4.6539,4.6539,MEDIUM,Tech,0.079,0.1895,0.7315,0.7315,0,0,0,0,0.0,2830,0.0306,0.0655,0.2353,0.0,0.0559,0.0769,0.141,143,0,0,-5.5122,-17.2469,2.9887,1.4556,33.14,-2.0521,-22.4883,10637920.0
ORCL,2024-12-10,UP,0.4726,0.4726,SMALL,Tech,0.2633,0.0517,0.6849,0.6849,0,0,0,0,0.0,2894,0.0469,0.1317,0.125,0.0,0.0245,0.1111,0.1111,163,0,0,4.1336,2.5413,1.9063,1.364,48.98,-0.1287,-1.0289,9056360.0
ORCL,2024-09-10,UP,0.8275,0.8275,SMALL,Tech,0.0438,0.0635,0.8927,0.8927,0,0,0,0,0.0,2611,0.0,0.0,0.0,0.0,0.0132,0.0,0.1538,151,0,0,0.2796,1.4284,0.9934,2.0842,55.83,0.2069,-3.3709,6416860.0
ORCL,2024-06-11,UP,13.3193,13.3193,LARGE,Tech,0.3992,0.2247,0.3761,0.3992,0,0,0,0,0.0,2640,0.0,0.0,0.0,0.0,0.0124,0.0,0.1364,161,0,0,3.6895,-0.0161,1.8079,1.2587,43.48,-0.1022,-3.3567,7694807.0
CRM,2026-03-05,UP,0.3575,0.3575,SMALL,Tech,0.4541,0.0688,0.4771,0.4771,0,0,0,0,0.0,2687,0.034,0.1054,0.1176,0.0,0.0602,0.0867,0.1467,133,0,0,-3.2035,4.3676,2.499,0.7799,57.75,0.8074,-33.4382,14842667.0
CRM,2025-12-03,UP,3.6612,3.6612,MEDIUM,Tech,0.1942,0.0797,0.7262,0.7262,0,0,0,0,0.0,2668,0.0333,0.1,0.1111,0.0,0.0373,0.08,0.14,161,0,0,0.252,-4.0041,1.7551,0.8198,41.0,-1.0031,-35.8114,6892560.0
CRM,2025-08-27,UP,1.7469,1.7469,SMALL,Tech,0.4306,0.0668,0.5026,0.5026,0,0,0,0,0.0,2802,0.0111,0.0314,0.1111,0.0,0.0584,0.05,0.05,137,0,0,-1.0996,-2.1792,1.8797,0.7825,52.2,0.5977,-33.4577,8738627.0
CRM,2025-05-28,DOWN,-3.3004,3.3004,MEDIUM,Tech,0.0434,0.7524,0.2043,0.7524,1,0,0,0,1.0,2699,-0.0294,0.0912,0.0,0.1176,0.0787,-0.075,0.125,127,1,0,-3.7735,1.4011,1.9034,1.4862,32.36,0.1315,-24.4455,5940793.0
CRM,2025-02-26,DOWN,-4.0445,4.0445,MEDIUM,Tech,0.5362,0.127,0.3368,0.5362,0,0,0,0,0.0,2707,0.0521,0.0903,0.25,0.0,0.0403,0.1389,0.2389,149,0,0,-5.7468,-11.1176,1.5981,1.1168,31.39,-2.2603,-16.7562,6377313.0
CRM,2024-12-03,UP,10.9948,10.9948,LARGE,Tech,0.0133,0.9425,0.0441,0.9425,0,0,0,0,0.0,2675,-0.0074,0.0228,0.0,0.0952,0.0,-0.0389,0.0722,161,0,0,-2.3886,-3.137,1.7592,0.8578,41.92,-0.2156,-3.5462,6626687.0
CRM,2024-08-28,DOWN,-0.73,0.73,SMALL,Tech,0.1029,0.0888,0.8083,0.8083,0,0,0,0,0.0,2621,0.0331,0.0826,0.1667,0.0,0.0,0.1641,0.2,145,0,0,1.1912,10.065,1.4243,1.049,67.94,1.3683,-16.3857,4386840.0
CRM,2024-05-29,DOWN,-19.7371,19.7371,LARGE,Tech,0.0156,0.9017,0.0827,0.9017,1,0,0,0,1.0,2529,-0.0303,0.1561,0.0909,0.1364,0.042,-0.0083,0.3583,143,1,0,-4.9091,-2.6517,1.4475,1.7479,41.54,-0.0303,-14.7367,4400767.0
JPM,2026-04-11,UP,1.2295,1.2295,SMALL,Finance,0.2612,0.0451,0.6937,0.6937,0,0,0,0,0.0,2639,0.0492,0.12,0.1818,0.0,0.0265,0.1636,0.3227,151,0,0,4.8807,8.6878,1.6214,0.7422,52.95,1.6242,-6.9197,10439753.0
JPM,2026-01-13,DOWN,-0.9746,0.9746,SMALL,Finance,0.1686,0.1237,0.7077,0.7077,0,0,0,0,0.0,2690,0.0083,0.0409,0.1111,0.0,0.0292,0.04,0.2,137,0,0,-3.0244,2.7564,1.2774,1.1407,59.54,0.6293,-3.0244,9141060.0
JPM,2025-10-11,UP,2.353,2.353,MEDIUM,Finance,0.0379,0.7546,0.2075,0.7546,0,0,0,0,0.0,2559,0.0192,0.044,0.1818,0.0,0.0276,0.0844,0.2644,145,0,0,-2.6813,-3.2285,0.7647,0.9487,31.11,-0.6931,-4.3369,7781567.0
JPM,2025-07-11,UP,0.6414,0.6414,SMALL,Finance,0.4389,0.104,0.4571,0.4571,0,0,0,0,0.0,2549,0.0541,0.1065,0.3043,0.0,0.0268,0.1564,0.3641,149,0,0,-2.6385,5.701,1.3125,1.1314,36.62,1.0307,-2.6385,10349020.0
JPM,2025-04-11,DOWN,-0.6266,0.6266,SMALL,Finance,0.0672,0.2371,0.6957,0.6957,0,0,0,0,0.0,2360,0.0,0.0,0.0,0.0,0.0504,0.0,0.0,119,0,0,8.0036,-5.4302,3.774,1.3571,44.07,-2.1192,-18.3751,15327473.0
JPM,2025-01-15,UP,0.7608,0.7608,SMALL,Finance,0.0728,0.2166,0.7106,0.7106,0,0,0,0,0.0,2568,0.0611,0.1339,0.1905,0.0,0.014,0.2,0.3423,143,0,0,1.7683,4.692,0.9471,1.1328,56.73,0.4794,-0.6161,9612920.0
